Description,Price per Unit,Unit,Price per Measure,Measure
Sainsbury's Fairtrade Bananas Loose,73p,kg,73p,kg
Sainsbury's Carrots Loose,41p,kg,41p,kg
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's Whole Cucumber,43p,unit,43p,ea
Sainsbury's Onions Loose,85p,kg,85p,kg
Sainsbury's Baking Potatoes Loose,64p,kg,64p,kg
Sainsbury's Fairtrade Bananas x5,80p,unit,16p,ea
Sainsbury's Red Pepper,45p,unit,45p,ea
Sainsbury's Mixed Peppers (Colours may vary) x3,1.35,unit,45p,ea
Sainsbury's Red Seedless Grapes 500g,2.00,unit,4.00,kg
Sainsbury's Carrots 1kg,41p,unit,41p,kg
Sainsbury's Lemons,30p,unit,30p,ea
Sainsbury's Broccoli Loose,1.60,kg,1.60,kg
Sainsbury's Red Onions Loose,1.00,kg,1.00,kg
Sainsbury's Strawberries 400g,3.50,unit,8.75,kg
Sainsbury's Closed Cup White Mushrooms Loose,2.75,kg,2.75,kg
By Sainsburys Medium Ripe & Ready Avocados x2,1.60,unit,80p,ea
Sainsbury's Spring Onions Bunch 100g,37p,unit,37p,ea
Sainsbury's Closed Cup White Mushrooms 300g,95p,unit,3.17,kg
Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,3.25,unit,13.54,kg
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's Courgettes Loose,2.00,kg,2.00,kg
Sainsbury's Sweet Potatoes Loose,1.10,kg,1.10,kg
Sainsbury's Royal Gala Apples x6,1.60,unit,27p,ea
Sainsbury's Maris Piper Potatoes 2.5kg,1.39,unit,56p,kg
Sainsbury's Baking Potatoes x4,45p,unit,11p,ea
Sainsbury's Easy Peelers 600g,80p,unit,1.33,kg
"Sainsbury's Easy Peelers, Taste the Difference 600g",1.20,unit,2.00,kg
Sainsbury's Baby Potatoes 1kg,1.00,unit,1.00,kg
Sainsbury's Fairtrade Bananas x8,1.25,unit,16p,ea
Sainsbury's Parsnips Loose,1.15,kg,1.15,kg
Sainsbury's Cauliflower,1.00,unit,1.00,ea
Sainsbury's White Seedless Grapes 500g,1.75,unit,3.50,kg
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's Blueberries 150g,1.75,unit,11.66,kg
Sainsbury's Braeburn Apples x6,1.60,unit,27p,ea
"Sainsbury's Vittoria on the Vine Cherry Tomatoes, Taste the Difference 250g",1.70,unit,6.80,kg
Sainsbury's Tomatoes Loose,1.75,kg,1.75,kg
