Description,Price/Unit,Unit,Price/Measure,Measure
Glade Large Candle Arctic Apple Pie 224g,4.00,unit,4.00,ea
"Duck Fresh Discs, Lime Zest 6x36ml",1.75,unit,1.75,ea
"Sainsbury's Super Soft Toilet Tissue, Pure White x9 Rolls",3.00,unit,15p,100sht
"Sainsbury's Thick Bleach, Citrus 750ml",50p,unit,67p,ltr
Sainsbury's Thick Bleach 750ml,50p,unit,67p,ltr
Andrex Classic Clean Toilet Tissue 16 Rolls,8.25,unit,26p,100sht
"Sainsbury's Thick Bleach, Aquamarine 750ml",50p,unit,67p,ltr
Andrex Classic Clean Toilet Tissue 9 Rolls,4.75,unit,26p,100sht
"Sainsbury's Super Soft Toilet Tissue, Pure White x4 Rolls",1.75,unit,20p,100sht
Sainsbury's Kitchen Foil 300mm x10m,1.25,unit,13p,mtr
Domestos Toilet Bleach Original 750ml,1.00,unit,1.33,ltr
Andrex Supreme Quilts Toilet Tissue 9 Rolls,4.50,unit,31p,100sht
"Sainsbury's Super Soft Toilet Tissue, Quilted x9 Rolls",3.75,unit,25p,100sht
Sainsbury's Tie Handle Refuse Sacks x20,2.25,unit,11p,ea
"Sainsburys Super Soft Flushable Moist Toilet Tissue, Sensitive 40 wipes",90p,unit,2p,wipe
Sainsbury's Antibacterial Floor Wipes x15,1.00,unit,7p,wipe
Regina Blitz Kitchen Towel x2 Rolls,3.50,unit,2.50,100sht
Fairy Antibacterial Washing Up Liquid Eucalyptus 383ml,1.50,unit,3.92,ltr
"Sainsbury's Washing Up Liquid, Lemon 450ml",50p,unit,1.11,ltr
"Comfort Fabric Conditioner, Pure 1.26L (36 Washes)",2.00,unit,1.59,ltr
Kleenex Balsam Tissues 2 Pack,3.00,unit,2.35,100sht
Plenty White Kitchen Towel x2 Rolls,3.00,unit,1.50,100sht
"Sainsbury's Greaseproof & Baking Paper, Non-Stick 10m",2.75,unit,28p,mtr
"Sainsbury's Super Soft Toilet Tissue, Warm Natural x9 Rolls",3.00,unit,15p,100sht
Andrex Classic Clean Toilet Tissue 4 Rolls,2.50,unit,31p,100sht
Sainsbury's Cling Film 350mm x40m,2.00,unit,5p,mtr
Regina Blitz Extra Large Kitchen Towel x1 Roll,2.00,unit,2.00,100sht
Domestos Extended Germ-Kill Citrus Fresh Toilet Bleach with CTAC 750ml,1.00,unit,1.33,ltr
Flash Bathroom Cleaner Spray 500ml,1.00,unit,2.00,ltr
Royal Mail Second Class Stamps x12,7.80,unit,65p,ea
Sainsbury's Kitchen Caddy Compostable Liners x25,2.50,unit,10p,ea
Sainsbury's Sponge Scourer x6,1.00,unit,17p,ea
Royal Mail First Class Stamps x12,9.12,unit,76p,ea
Sainsbury's Little Ones Single Pack 60 Botty Wipes,75p,unit,1p,wipe
Sainsbury's Kitchen Foil 300mm x30m,3.50,unit,12p,mtr
Persil Non-Bio Laundry Liquid 1.43L,6.00,unit,4.19,ltr
Dettol Antibacterial Disinfectant Surface Cleaning Spray 500ml,1.75,unit,3.50,ltr
Sainsbury's Tie Top Refuse Sacks x20,2.25,unit,11p,ea
Flash With Bleach 3 in 1 Cleaner Spray 500ml,1.00,unit,2.00,ltr
"Comfort Fabric Conditioner, Pure 3L (85 Washes)",3.75,unit,1.25,ltr
Kleenex Extra Large Tissues 2 Pack,4.00,unit,2.22,100sht
Sainsbury's Dishwasher Granular Salt 3kg,2.75,unit,92p,kg
Plenty White Kitchen Towel x4 Rolls,6.00,unit,1.50,100sht
"Sainsbury's Washing Up Liquid, Limited Edition 450ml",50p,unit,1.11,ltr
Kleenex Ultra Soft Tissues 2 Pack,3.00,unit,2.35,100sht
"Cushelle Toilet Tissue, White x9 Rolls",4.50,unit,28p,100sht
Dettol Antibacterial Disinfectant Surface Cleaning Spray 750ml,2.50,unit,3.33,ltr
"Fairy Platinum Quickwash Washing Up Liquid, Original 625ml",1.50,unit,2.40,ltr
Andrex Supreme Quilts Toilet Tissue 16 Rolls,9.25,unit,36p,100sht
Comfort Blue Skies Fabric Conditioner 1.26L (36 Washes),2.00,unit,1.59,ltr
Viakal Limescale Remover Spray 500ml,2.00,unit,4.00,ltr
"Sainsbury's All In One Dishwasher Tablets, Lemon x60",5.00,unit,8p,ea
"Sainsbury's Washing Up Liquid, Apple 450ml",50p,unit,1.11,ltr
Dettol Antibacterial Disinfectant Multi Surface Cleaning Wipes x72,3.50,unit,5p,wipe
Sainsbury's Little Ones Fragrance Free 60 Botty Wipes,75p,unit,1p,wipe
Bryant & May Extra Long Matches,1.10,unit,1.10,ea
Andrex Skin Kind Toilet Tissue 9 Rolls,4.00,unit,28p,100sht
Domestos Extended Germ-Kill Pink Power Toilet Bleach with CTAC 750ml,1.00,unit,1.33,ltr
Sainsbury's Super Soft Pocket Tissues 10x10 Sheets,1.25,unit,1.25,100sht
Flash Lemon All Purpose Liquid Cleaner 1L,1.50,unit,1.50,ltr
Sainsbury's Super Soft Pure White Tissues Cube 1x56 Sheets,1.00,unit,1.79,100sht
Sainsbury's Ultra Soft 3 Ply Tissues Twin Pack x80 Sheets,2.75,unit,1.72,100sht
"Duracell Plus Alkaline AA Batteries, pack of 12",7.00,unit,58p,batt
"Sainsbury's Thick Bleach, Lemon 2L",1.25,unit,63p,ltr
"Sainsbury's Super Soft Toilet Tissue, Aloe Vera x9 Rolls",3.75,unit,25p,100sht
"Harpic Power Plus Toilet Cleaner, Original 750ml",1.00,unit,1.33,ltr
Mr Muscle Max Power Drain Unblocker Gel 500ml,2.50,unit,5.00,ltr
Andrex Supreme Quilts Toilet Tissue 4 Rolls,2.75,unit,43p,100sht
Sainsbury's Ultra Balm 3 Ply Tissues Twin Pack x80 Sheets,2.75,unit,1.72,100sht
"Sainsbury's Washing Up Liquid, Lemon 740ml",80p,unit,1.08,ltr
"Sainsbury's Fabric Conditioner, Gentle 1.26L (42 Washes)",1.35,unit,1.07,ltr
"Duck Liquid Toilet Cleaner, Marine 750ml",1.00,unit,1.33,ltr
"Cif Floor Cleaner, Ocean 950ml",1.50,unit,1.58,ltr
Fairy Platinum Quickwash Original Washing Up Liquid 383ml,1.50,unit,3.92,ltr
Sainsbury's Tall Kitchen Bin Bags 30L x20,2.50,unit,13p,ea
"Marigold Kitchen Gloves, Medium",2.50,unit,2.50,ea
Sainsbury's Rinse Aid Lemon 400ml,1.75,unit,4.38,ltr
"Sainsbury's Toilet Cleaner, Aqua 750ml",65p,unit,87p,ltr
Kleenex Extra Large Compact Tissues 4 Pack,4.00,unit,2.27,100sht
Harpic White & Shine Toilet Bleach 750ml,1.25,unit,1.67,ltr
"Sainsbury's Sandwich Bags Easy Seal 19,5x19cm x60",2.00,unit,3p,ea
"Cushelle Toilet Tissue, White x16 Rolls",7.50,unit,26p,100sht
"Sainsbury's Food & Freezer Bags, Medium Reseal 30x26cm x20",2.00,unit,10p,ea
Sainsbury's All Purpose Cloths x10,1.00,unit,10p,unit
Sainsbury's Super Absorbent Kitchen Towels x2,2.00,unit,1.00,100sht
Flash Cleaning Wipes Blossom Antibacterial x48,1.80,unit,4p,wipe
