Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's British Semi Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's British Whole Milk 2.27L (4 pint),1.10,unit,48p,ltr
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's British Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's British Semi Skimmed Milk 3.4L (6 pint),1.55,unit,45p,ltr
Hubbard's Foodstore Sparkling Waters 2L,20p,unit,1p,100ml
Sainsbury's British Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
"Sainsbury's 100% Pure Squeezed Smooth Orange Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
Hubbard's Foodstore Water 2L,20p,unit,1p,100ml
Sainsbury's British Semi Skimmed Milk 1 Pint,55p,unit,97p,ltr
Sainsbury's British Whole Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's Smooth Pure Orange Juice 1L,90p,unit,9p,100ml
Pepsi Max 2L,1.50,unit,8p,100ml
Sainsbury's Caledonian Still Water 4x2L,1.50,unit,2p,100ml
Highland Spring Still Water 12x500ml,3.00,unit,5p,100ml
"Sainsbury's 100% Pressed Apple Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
"Sainsbury's British Whole Milk, SO Organic 2.27L (4 Pint)",1.55,unit,68p,ltr
Arla Lactofree Fresh Semi Skimmed Dairy Drink 1L,1.50,unit,1.50,ltr
Alpro Almond No Sugars Long Life Drink 1L,1.80,unit,1.80,ltr
Sainsbury's Diet Indian Tonic Water 1L,60p,unit,6p,100ml
Diet Coke 8x330ml,3.00,unit,11p,100ml
Sainsbury's Soda Water 1L,60p,unit,6p,100ml
Robinsons Orange Squash No Added Sugar 1L,1.65,unit,17p,100ml
Tropicana Smooth Orange Juice 950ml,1.50,unit,16p,100ml
Sainsbury's British Whole Milk 3.4L (6 pint),1.55,unit,45p,ltr
Cravendale Purefilter Whole Milk 2L,1.90,unit,95p,ltr
Sainsbury's Caledonian Sparkling Water 4x2L,1.60,unit,2p,100ml
Sainsbury's Pure Apple Juice 1L,90p,unit,9p,100ml
Robinsons Apple & Blackcurrant Squash No Added Sugar 1L,1.65,unit,17p,100ml
"Sainsbury's Conegliano Prosecco, Taste the Difference 75cl",8.00,unit,8.00,75cl
"Sainsbury's Sparkling Flavoured Water, Lemon & Lime 1L",50p,unit,5p,100ml
Sainsbury's Unsweetened Soya Drink 1L,85p,unit,85p,ltr
Sainsbury's Pure Orange Juice 4x1L,3.00,unit,8p,100ml
"Sainsbury's British Semi Skimmed Milk, SO Organic 1.13L (2 pint)",1.05,unit,92p,ltr
"Sainsbury's Apple & Blackcurrant Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
Sainsbury's Caledonian Sparkling Water 6x500ml,1.50,unit,5p,100ml
Highland Spring Still Water 6x1.5L,3.00,unit,3p,100ml
Alpro Almond No Sugars Chilled Drink 1L,1.85,unit,1.85,ltr
Cravendale Purefilter Semi Skimmed Milk 1L,1.15,unit,1.15,ltr
Tropicana Smooth Orange Juice 1.6L,3.80,unit,24p,100ml
"Sainsbury's 100% Pure Squeezed Orange Juice with Bits, Not From Concentrate 1L",1.25,unit,13p,100ml
Sainsbury's Indian Tonic Water 1L,60p,unit,6p,100ml
"Sainsbury's Double Strength Orange Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
Cravendale Purefilter Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's Caledonian Still Water Sports Cap 6x500ml,1.50,unit,5p,100ml
Evian Natural Mineral Water 6x1.5L,4.25,unit,5p,100ml
Sainsbury's British Filtered Semi Skimmed Milk 2L,1.35,unit,68p,ltr
